Category:,Cylinder,,,,,,
Name,Manufacturer,Material,"Cylinder bore, mm","Weight, kg",Coating,Replacer,Image
72013-01 Right,IMZ,Special cast iron,78,-,-,-,https://drive.google.com/open?id=1u_zpPEOo2nCDkM3MjPwtV-6ZPypyUw8a
72013-02 Left,IMZ,Special cast iron,78,-,-,-,https://drive.google.com/open?id=1a9wLW8Dj92wbQC7ZYLruptyz5sFJFdkI
