Category:,Bearing,,,,,,,,,,,,,,,,
Name,Type,Rolling element,Enclosure,Rolling rows,Cage,"Size, mm","Static load rating, N","Dynamic load rating, N","Limiting speed, 1/min",Standard,Manufacturer,Material,Wiki,Website,Website lang,Replacer,Image
305,Deepgroove bearing,Ball D11.509 (7),Open,Single row,Sheet metal cage,25x62x17,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=305&mod=1,-,-,6305 TVH C3,https://aprom.by/eskiz/1.jpg
7204,Tapered roller bearing,Tapered roller (12),Open,Single row,Sheet metal cage,20x47x15.3,-,-,-,-,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=7204&mod=1,-,-,30204,https://drive.google.com/open?id=1jC8sjo2qVKWdBEI3qR5jIZuYowzjQs7I
12204,Cylindrical roller bearing,Roller 6.5x6.5 (11),Open,Single row,Solid brass cage,20x47x14,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=12204&mod=1,-,-,NF204; NJ204,https://drive.google.com/open?id=17SPztXM1oB4OKh7ZuBUtzP9y-A4mtm1W
32207,Roller bearing,Roller (13),Open,Single row,-,35x72x17,-,-,-,GOST 520-89,-,-,https://aprom.by/cgi-bin/boardauto.pl?&words=32207&mod=1,-,-,NU207,https://drive.google.com/open?id=1kvXVrnc30stSwLA5umSQtCXp_L78B7EV
42209,Cylindrical roller bearing,Roller (16),Open,Single row,Solid brass cage,45x85x19,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=42209&mod=1,-,-,NJ209,https://drive.google.com/open?id=1e8Eb9yD_cVl33xujfuRMpjDKaGc-TrU5
180503,Deepgroove bearing,Ball (7),Sealed,Single row,-,17x40x16,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=180503&mod=1,-,-,62203-ZZ; 62203-2RS; 6203-2RS (+ 4mm spacer); 6203-ZZ (+ 4mm spacer),https://drive.google.com/open?id=1EYPts2lO29BIDxs1WhhetnMPaZhQ7NC3
778707,Thrust bearing,Ball D5.556 (22),-,Single row,-,34x51x12.1,-,-,-,-,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=778707&mod=1,-,-,SSW055,https://drive.google.com/open?id=1c7KOleogSsboB3f264o-CMmfdekGrEWt
822907,Cylindrical roller bearing,7201209 (12),Open,Single row,7201208 (1),36x50x15,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=822907&mod=1,-,-,-,https://drive.google.com/open?id=1wopV8pFTWGGRGJiNF1lltSEZCEwsGinm
874901,Roller bearing,Roller (no data),Open,Single row,-,13x32x20,-,-,-,-,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=874901&mod=1,-,-,-,https://drive.google.com/open?id=1UZ40WRlEvncDU2dnjojH4UubaZdCzSJf
948066,Thrust bearing,Ball D5.556 (7),Open,Single row,-,6x22.7x5.5,-,-,-,-,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=948066&mod=1,-,-,AXK0619NF (+ 2 washers: AS 0619 h1 and AS 0619 h2.75),https://drive.google.com/open?id=1IuLuOw9Vyj47LePnVhNSEd40sJ3IrfDa
7000105,Deepgroove bearing,Ball (no data),Open,Single row,-,25x47x8,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=7000105&mod=1,-,-,16005,https://drive.google.com/open?id=136N20dv4-NcGH29uL4_KvB8QlRX5_2Wp
6207M,Deepgroove bearing,Ball (9),Open,Single row,Solid brass cage,35x72x17,-,-,-,-,SLF,-,-,https://www.dswaelzlager.de/Rillenkugellager-6207-M-SLF-Messingkaefig-35x72x17mm-Massivkaefig-aus-Messing-waelzkoerpergefuehrt,-,-,https://drive.google.com/open?id=1OwN20WFP0nHLUmBLa1QkfQn4D0AgfU_i
6305 TVH C3,Deepgroove bearing,Ball D11.509 (7),Open,Single row,Solid polyamide snap cage,25x62x17,-,-,-,-,SLF,-,-,https://www.dswaelzlager.de/Rillenkugellager-6305TVH-C3-SLF-25x62x17mm-,-,-,https://www.dswaelzlager.de/bilder/produkte/gross/Rillenkugellager-6305TVH-C3-SLF-25x62x17mm-.jpg
864708 ДМ,Cylindrical roller bearing,6601209 (18),Open,Single row,6601208 (1),40x50x17,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=864708&mod=1,-,-,K40x50x17,https://drive.google.com/open?id=1UyHoOg0QadU1YNSKjGqdKEqKvPVFjyzU
AXK0619NF,Thrust bearing,Roller (no data),Open,Single row,-,-,-,-,-,-,-,-,-,-,-,-,-
K40x50x17,Cylindrical roller bearing,Roller (18),Open,Single row,Cage,40x50x17,30200,39200,11500,DIN 5405-1,INA,-,https://medias.schaeffler.com/medias/en!hp.ec.br.pr/RNAO*RNAO40X50X17-XL?clrsb=1&,-,-,-,https://drive.google.com/open?id=1ysnupNxh7ZxgMHY_q0HRNmWL8_YLUSFl
SSW055,Tapered roller bearing,Tapered roller (no data),-,Single row,Sheet metal cage,34x51x12.1,-,-,-,-,-,-,-,-,-,-,https://www.mvh-shop.de/media/image/product/26867/lg/steering-head-bearing-ssw-055.jpg
