Category:,Vehicle,,,,,,,,,,,,,,,,,,
Name,Class,Manufacturer,Production,"Max speed, km/h","Weight, kg","Fuel capacity, L",Engine,Gearbox,Generator,Final drive,Sidecar reduction drive,Chassis,Gasket,Wiki,Image,Manual,Parts catalog,Drawings,Status
MV-750,Motorcycle,KMZ,1964-1973,95,355,20,K-750 type,7204,G-414,MB-750 type,KMZ type,MV-750 type,-,http://www.bikerwiki.ru/%D0%9C%D0%92-750,https://drive.google.com/open?id=1olke5C-GCDgjIr3zoRXioat0siB-jl0v,https://drive.google.com/open?id=1QAwX1xM8M3_bcvIv4vle4kxhpiA3zQyr,https://drive.google.com/open?id=14n0-Pm1INs9Pzsit24ITw_xGKP9IG7jJ,-,active
MV-750M,Motorcycle,KMZ,1973-1976,95,355,19,K-750M type,MT-804,G-414,MB-750M type,KMZ type,MV-750M type,-,http://www.bikerwiki.ru/%D0%9C%D0%92-750%D0%9C,https://drive.google.com/open?id=10klG9_pvxqnu7DSfKAUGNpRwr3ws_uF8,-,-,-,active
Dnepr MT-10-36,Motorcycle,KMZ,1976-1984,105,335,20,MT-10-36 type,MT-804,G-424,K-750M type,-,K-750M type,-,http://www.bikerwiki.ru/%D0%9C%D0%A2-10-36,https://drive.google.com/open?id=118Rcb6MIeF3ObLxtRJ998h0NUAbFRwxD,https://drive.google.com/open?id=1hfn_JMddN6hwq4-9gH--OR6gaCA4xzo8,-,-,active
Dnepr-12,Motorcycle,KMZ,1977-1986,95,355,19,K-750M type,MT-804,G-414,MB-750M type,KMZ type,MV-750M type,-,http://www.bikerwiki.ru/%D0%9C%D0%A2-12,https://drive.google.com/open?id=1mAPDZr2eL9ZiohMQHP4pCJZwbQz2VJQm,-,-,-,active
Dnepr-16,Motorcycle,KMZ,1986-2008,95,355,19,MT-10-32,KMZ-8.155 type,G-424,MB-750M type,KMZ type,MV-650 type,-,http://www.bikerwiki.ru/%D0%9C%D0%A2-16,https://drive.google.com/open?id=1c1R2kUjzFmbu6awk3x2vOt2TUhicJtu2,-,https://drive.google.com/open?id=1MhZ98Teqg9r_9J7RmZTV0Oew0VsLj5jJ,-,active
BK 350 Early,Motorcycle,DKW-IFA,1952-1956,115,142,-,BK 350,-,-,-,-,-,-,https://de.wikipedia.org/wiki/MZ_BK_350,https://drive.google.com/open?id=1NpxDvT-QGVinqYIc0u4kD3UnYXxZ1XoD,-,-,-,active
M-72,Motorcycle,IMZ,1941-1957,95,350,22,M-72 type,7204,G-11A,M-72 type,-,M-72 type,M-72 gasket kit,https://en.wikipedia.org/wiki/Dnepr_M-72,https://drive.google.com/open?id=1n58xF-YIUHR7nlK1y6bb7K6KUTCjCWkK,https://drive.google.com/open?id=12q_y-yRheyZQdugJkW5Wl1j9mGat71gF,https://drive.google.com/open?id=10Cx-MBueF525RBolipti03mQ13WAy7Ub,https://drive.google.com/open?id=199AeVyvLmzvrIWaYzhmWAeLW-3R0_xZg,active
M-72M,Motorcycle,IMZ,1955-1960,95,350,22,M-72 type,7204,G-11A,M-72 type,-,M-72M type,M-72M gasket kit,https://en.wikipedia.org/wiki/Dnepr_M-72,https://drive.google.com/open?id=1TrgNImPIwNdGOkUJcrazsGjQn4LQJfWF,-,-,-,active
M-61 Irbit ,Motorcycle,IMZ,1959-1963,95,360,22,M-61 type,7204,G-11A,M-72 type,-,M-72M type,M-61 gasket kit,https://ru.wikipedia.org/wiki/%D0%98%D0%9C%D0%97_%D0%9C-61,https://drive.google.com/open?id=1Glqg01C8ez-XV0KyBa1Ff_LFZX1obHEa,-,-,-,active
M-63 Ural-2,Motorcycle,IMZ,1963-1980,95,320,19,M-62 type,6204,G-414,M-63 type,-,M-63 type,M-63 gasket kit,https://ru.wikipedia.org/wiki/%D0%98%D0%9C%D0%97_%D0%9C-63,https://drive.google.com/open?id=1pOh8HTVSROXMiHGmlnAViQ5cNIaDqxVn,https://drive.google.com/open?id=1LI7zEegUoS06ZbimhaH0_MehrSWTL2r7,-,-,active
M-62 Ural,Motorcycle,IMZ,1961-1965,95,340,22,M-62 type,6204 M-62 type,G-414,M-62 type,-,M-62 type,M-61 gasket kit,https://ru.wikipedia.org/wiki/%D0%A3%D1%80%D0%B0%D0%BB_%D0%9C-62,https://drive.google.com/open?id=1bF8qmdBuSd5SbsAQR88ztkJFo3skBpo3,-,-,-,active
Ural M-67-36,Motorcycle,IMZ,1976-1974,105,330,19,M-67-36 type,IMZ-8.101-04001,G-424,M-63 type,-,M-67 type,-,https://ru.wikipedia.org/wiki/%D0%A3%D1%80%D0%B0%D0%BB_%D0%9C-67-36,https://drive.google.com/open?id=1HjNfNCIcWrZJ-ZCwo9BOfSZArt0BldwA,-,https://drive.google.com/open?id=1SLkSumyg0CxVS5R1sM1Tys1jeaKwykE6,-,active
