Category:,Universal joint cross,,,,,
Name,Manufacturer,"Dimensions, mm",Standard,Material,Replacer,Image
7205311,USSR,-,-,-,-,https://drive.google.com/open?id=1xQROvyDag_5o6zsxyApxo9pCtYCYSzUR
