Category:,Wire,,,,,,,,,,,,
Name,Voltage,"Dimensions, mm",Standard,Core,Insulation,Outer shield material,Manufacturer,Replacer,Wiki,Website,Website lang,Image,Status
ПВЛ-1,High voltage,-,GOST 3923-47,"Stranded, copper",РТИ-1,Cotton yarn braid coated with nitrocellulose varnish,USSR,-,https://vk.com/@soyuzmech-vysokovoltnyi-kabel-pvl-na-motociklah-m-72,-,-,https://drive.google.com/open?id=1ofJTJOiEakC6KY4hrbVr63A1HTxJ7hen,active
ПВЛ-1 Soyuz Retromechanic,High voltage,-,GOST 3923-47,"Stranded, copper",РТИ-1,Cotton yarn braid coated with nitrocellulose varnish,Soyuz Retromechanic,-,https://vk.com/@soyuzmech-vysokovoltnyi-kabel-pvl-na-motociklah-m-72,https://vk.com/market-181468296?w=product-181468296_3462964%2Fquery,-,https://drive.google.com/open?id=1GFIXIFqpWPekYMiCambL78Iuuns7tWhA,deleted
